Date,Open,High,Low,Close,Volume
12/04/2015,146.35,148.78,146.09,148.50,"3,892,356"
12/03/2015,147.05,147.63,144.28,145.56,"3,008,656"
12/02/2015,147.55,148.03,146.38,146.96,"2,648,847"
12/01/2015,146.54,149.40,146.47,147.74,"3,444,346"
11/30/2015,146.97,147.26,145.36,145.45,"3,176,745"
11/27/2015,147.50,147.97,146.68,146.95,"1,282,131"
11/26/2015,147.43,147.43,147.43,147.43,"0,000"
11/25/2015,149.04,149.15,147.38,147.43,"1,852,242"
11/24/2015,147.49,149.59,147.22,148.65,"2,626,649"
11/23/2015,149.39,149.70,147.71,148.34,"3,182,749"
11/20/2015,149.84,150.59,149.12,149.40,"3,210,154"
11/19/2015,148.79,149.48,148.26,149.24,"2,492,572"
11/18/2015,146.24,148.39,146.23,148.28,"3,100,134"
11/17/2015,145.29,146.59,144.64,146.08,"3,038,332"
11/16/2015,142.58,144.50,142.33,144.42,"2,378,332"
11/13/2015,142.33,143.89,141.86,142.59,"3,063,568"
11/12/2015,143.00,144.40,141.59,142.54,"3,796,659"
11/11/2015,145.20,145.83,144.52,144.99,"1,589,257"
11/10/2015,145.28,146.14,144.03,145.15,"2,524,124"
11/09/2015,146.75,147.48,145.18,145.98,"2,980,833"
11/06/2015,146.58,148.17,146.01,147.94,"2,294,059"
11/05/2015,148.19,148.84,146.49,147.97,"2,545,336"
11/04/2015,147.26,148.76,147.18,148.19,"2,771,502"
11/03/2015,148.03,148.46,147.14,148.09,"2,469,815"
11/02/2015,148.38,149.47,147.56,148.40,"2,516,541"
10/30/2015,147.40,149.60,147.09,148.07,"3,937,974"
10/29/2015,147.54,147.87,145.83,147.18,"3,071,949"
10/28/2015,147.99,148.81,145.14,147.88,"4,408,265"
10/27/2015,146.22,148.99,146.01,148.46,"3,411,212"
10/26/2015,146.21,147.23,145.55,146.70,"3,143,367"
10/23/2015,147.37,147.75,144.91,146.70,"4,691,129"
10/22/2015,142.00,147.36,141.93,146.31,"6,976,172"
10/21/2015,141.70,142.15,136.61,141.19,"8,976,509"
10/20/2015,137.94,139.93,137.58,138.88,"4,202,297"
10/19/2015,137.60,138.61,136.39,138.42,"4,021,911"
10/16/2015,137.43,138.73,136.52,137.60,"3,173,330"
10/15/2015,135.16,137.67,135.00,137.39,"6,368,283"
10/14/2015,139.75,140.89,133.58,134.22,"8,747,112"
10/13/2015,139.44,140.50,139.43,140.29,"2,339,588"
10/12/2015,139.93,141.07,139.32,140.68,"1,942,171"
10/09/2015,139.07,140.24,138.36,139.70,"3,065,636"
10/08/2015,136.66,139.35,136.07,139.04,"2,835,613"
10/07/2015,135.69,137.73,135.26,137.02,"3,284,108"
10/06/2015,134.10,135.54,133.67,134.63,"3,059,466"
10/05/2015,132.28,134.15,131.35,134.02,"4,587,247"
10/02/2015,129.00,132.59,128.56,132.56,"3,020,473"
10/01/2015,131.32,131.79,128.98,130.61,"2,878,388"
09/30/2015,130.27,131.41,129.62,130.95,"3,062,539"
09/29/2015,128.11,129.15,127.47,128.75,"2,935,049"
09/28/2015,130.44,130.48,128.03,128.13,"4,159,791"
09/25/2015,131.57,131.73,129.28,131.01,"4,149,269"
09/24/2015,130.72,130.77,127.18,129.75,"5,297,038"
09/23/2015,134.66,135.00,131.61,131.67,"4,906,094"
09/22/2015,134.49,134.49,132.52,133.99,"3,464,997"
09/21/2015,136.42,137.45,134.94,136.02,"2,460,863"
09/18/2015,135.75,137.69,134.40,136.09,"7,301,896"
09/17/2015,137.36,139.91,136.94,137.45,"3,405,575"
09/16/2015,136.26,137.43,136.01,137.20,"2,504,368"
09/15/2015,134.52,137.00,134.52,136.30,"3,761,791"
09/14/2015,134.72,135.13,133.73,134.43,"2,389,564"
09/11/2015,133.16,134.86,132.89,134.67,"2,628,223"
09/10/2015,132.34,134.57,132.27,133.55,"2,932,190"
09/09/2015,135.59,136.25,132.21,132.65,"4,713,455"
09/08/2015,132.27,133.99,132.00,133.82,"3,505,696"
09/07/2015,129.76,129.76,129.76,129.76,"0,000"
09/04/2015,129.55,130.49,128.66,129.76,"3,746,435"
09/03/2015,132.31,132.35,130.48,131.02,"3,378,646"
09/02/2015,128.71,130.67,127.74,130.63,"4,809,294"
09/01/2015,128.16,128.99,126.94,127.44,"5,771,809"
08/31/2015,132.37,132.70,130.39,130.68,"4,231,616"
08/28/2015,131.43,133.72,130.86,133.24,"4,508,349"
08/27/2015,131.08,132.36,129.46,131.87,"5,753,342"
08/26/2015,129.34,129.76,125.23,129.34,"6,427,739"
08/25/2015,130.00,130.72,125.43,125.49,"7,158,331"
08/24/2015,123.64,135.50,115.14,127.19,"9,425,508"
08/21/2015,134.88,135.09,131.46,131.71,"7,957,400"
08/20/2015,141.62,141.90,136.90,137.02,"6,597,299"
08/19/2015,143.42,144.48,142.32,142.72,"2,967,301"
08/18/2015,144.39,145.21,143.82,144.60,"1,955,461"
08/17/2015,144.60,144.86,142.93,144.44,"3,745,958"
08/14/2015,144.61,145.47,143.76,145.09,"2,927,035"
08/13/2015,142.03,145.45,141.53,144.81,"5,129,524"
08/12/2015,142.55,143.01,139.86,142.43,"4,405,521"
08/11/2015,144.14,144.93,143.28,144.05,"2,816,379"
08/10/2015,143.79,146.77,143.78,145.86,"3,432,000"
08/07/2015,143.22,143.84,141.70,142.42,"2,953,094"
08/06/2015,144.70,145.25,143.42,143.82,"2,456,980"
08/05/2015,143.90,145.60,143.77,144.95,"2,926,089"
08/04/2015,143.55,144.87,143.04,143.54,"1,972,785"
